code,preshead,theta
1143,60.0,0.195
1143,100.0,0.1717
1143,140.0,0.1603
1143,180.0,0.1548
1143,240.0,0.1495
1143,320.0,0.1434
1143,400.0,0.141
1150,,
1151,,
1152,,
1160,5.0,0.3581
1160,10.0,0.3429
1160,20.0,0.2994
1160,30.0,0.2501
1160,40.0,0.2152
1160,50.0,0.2096
1160,100.0,0.1644
1160,200.0,0.1439
1160,350.0,0.1313
1160,300.0,0.1249
1160,500.0,0.1177
1160,1000.0,0.1136
1160,2000.0,0.1063
1160,4000.0,0.0759
1160,15000.0,0.0505
1161,5.0,0.2663
1161,10.0,0.2614
1161,20.0,0.2487
1161,30.0,0.2389
1161,40.0,0.2292
1161,50.0,0.2191
1161,100.0,0.2082
1161,200.0,0.1948
1161,350.0,0.1845
1161,300.0,0.1522
1161,500.0,0.1446
1161,1000.0,0.1974
1161,2000.0,0.2035
1161,4000.0,0.172
1161,15000.0,0.1657
1162,5.0,0.408
1162,10.0,0.405
1162,20.0,0.4005
1162,30.0,0.397
1162,40.0,0.393
1162,50.0,0.3814
1162,100.0,0.375
1162,200.0,0.362
1162,350.0,0.3515
1162,300.0,0.3246
1162,500.0,0.3186
1162,1000.0,0.3394
1162,2000.0,0.3529
1162,4000.0,0.3325
1162,15000.0,0.2899
1163,5.0,0.4001
1163,10.0,0.3945
1163,20.0,0.3853
1163,30.0,0.3803
1163,40.0,0.375
1163,50.0,0.3713
1163,100.0,0.3576
1163,200.0,0.3452
1163,350.0,0.3361
1163,300.0,0.3317
1163,500.0,0.3248
1163,1000.0,0.3451
1163,2000.0,0.3079
1163,4000.0,0.3133
1163,15000.0,0.2849
1164,5.0,0.3664
1164,10.0,0.3629
1164,20.0,0.3621
1164,30.0,0.3599
1164,40.0,0.3567
1164,50.0,0.3543
1164,100.0,0.3431
1164,200.0,0.3318
1164,350.0,0.3236
1164,300.0,0.3356
1164,500.0,0.329
1164,1000.0,0.3229
1164,2000.0,0.2815
1164,4000.0,0.2767
1164,15000.0,0.2469
1165,5.0,0.3477
1165,10.0,0.3469
1165,20.0,0.3467
1165,30.0,0.3444
1165,40.0,0.3391
1165,50.0,0.3287
1165,100.0,0.3202
1165,200.0,0.3057
