code,theta,conductivity
1380,0.265,0.0073
1380,0.263,0.00879
1380,0.262,0.00347
1380,0.26,0.01573
1380,0.255,0.00507
1380,0.241,0.00499
1381,0.337,5.594
1381,0.336,3.806
1381,0.333,3.696
1381,0.327,2.537
1381,0.321,2.658
1381,0.316,1.878
1381,0.314,1.327
1381,0.311,1.618
1381,0.309,2.021
1381,0.302,1.17
1381,0.301,1.186
1381,0.3,1.122
1381,0.296,0.4295
1381,0.293,0.7797
1381,0.292,0.8816
1381,0.286,0.6644
1381,0.281,0.8433
1381,0.28,0.5143
1381,0.279,0.1548
1381,0.274,0.3183
1381,0.273,0.3117
1381,0.267,0.05277
1381,0.264,0.01255
1381,0.258,0.1055
1381,0.256,0.1253
1381,0.253,0.2018
1381,0.252,0.05647
1381,0.25,0.1079
1381,0.241,0.03433
1381,0.235,0.01609
1381,0.234,0.02833
1381,0.23,0.01085
1381,0.221,0.00835
1381,0.209,0.00855
1381,0.208,0.00491
1381,0.207,0.01843
1381,0.203,0.00568
1381,0.202,0.00282
1381,0.197,0.01107
1382,0.354,3.285
1382,0.343,0.6344
1382,0.34,1.832
1382,0.338,0.4962
1382,0.334,0.3371
1382,0.332,0.2983
1382,0.326,0.1999
1382,0.323,0.05857
1382,0.319,2.811
1382,0.318,0.0956
1382,0.308,3.92
1382,0.306,0.01155
1382,0.305,0.2646
1382,0.298,0.3912
1382,0.296,0.00589
1382,0.292,2.723
1382,0.289,0.00464
1382,0.287,0.1309
1382,0.283,0.0026
1382,0.28,1.498
1382,0.279,0.00145
1382,0.275,0.1813
1382,0.274,0.00809
1382,0.269,0.02254
1382,0.268,1.984
1382,0.258,0.00759
1382,0.257,0.5622
1382,0.254,0.2034
1382,0.248,0.00251
1382,0.244,0.05688
1382,0.239,0.00102
1382,0.236,0.02425
1382,0.232,0.02503
1382,0.231,0.037
1382,0.227,0.01333
1382,0.225,0.02378
1382,0.213,0.00908
1382,0.209,0.00338
1382,0.208,0.00423
