code,particle_size,particle_fraction
1440,63.0,0.436
1440,200.0,0.786
1440,630.0,0.938
1440,2000.0,1.0
1450,2.0,0.147
1450,6.0,0.206
1450,20.0,0.248
1450,63.0,0.409
1450,200.0,0.829
1450,630.0,0.971
1450,2000.0,0.997
1460,2.0,0.012
1460,6.0,0.014
1460,20.0,0.02
1460,63.0,0.022
1460,100.0,0.026
1460,200.0,0.059
1460,630.0,0.707
1460,2000.0,1.0
1461,2.0,0.003
1461,6.0,0.006
1461,20.0,0.008
1461,63.0,0.01
1461,100.0,0.014
1461,200.0,0.05
1461,630.0,0.707
1461,2000.0,1.0
1462,2.0,0.016
1462,6.0,0.021
1462,20.0,0.029
1462,63.0,0.036
1462,100.0,0.045
1462,200.0,0.205
1462,630.0,0.985
1462,2000.0,1.0
1463,2.0,0.011
1463,6.0,0.011
1463,20.0,0.02
1463,63.0,0.031
1463,100.0,0.062
1463,200.0,0.171
1463,630.0,0.999
1463,2000.0,1.0
1464,2.0,0.026
1464,6.0,0.026
1464,20.0,0.061
1464,63.0,0.072
1464,100.0,0.095
1464,200.0,0.488
1464,630.0,0.997
1464,2000.0,1.0
1465,2.0,0.032
1465,6.0,0.042
1465,20.0,0.074
1465,63.0,0.21
1465,100.0,0.474
1465,200.0,0.872
1465,630.0,0.986
1465,2000.0,1.0
1466,2.0,0.014
1466,6.0,0.014
1466,20.0,0.017
1466,63.0,0.109
1466,100.0,0.509
1466,200.0,0.973
1466,630.0,1.0
1466,2000.0,1.0
1467,2.0,0.05
1467,6.0,0.065
1467,20.0,0.089
1467,63.0,0.122
1467,100.0,0.127
1467,200.0,0.28
1467,630.0,0.83
1467,2000.0,1.0
1480,,
1481,,
1482,,
1490,2.0,0.158
1490,6.0,0.233
1490,20.0,0.431
1490,63.0,0.956
1490,200.0,0.997
1490,630.0,1.0
1490,2000.0,1.0
2000,2.0,0.219
2000,6.0,0.263
2000,20.0,0.399
2000,60.0,0.825
2000,200.0,0.938
2000,600.0,0.998
2000,2000.0,1.0
2001,2.0,0.235
2001,6.0,0.272
2001,20.0,0.474
2001,60.0,0.926
2001,200.0,0.978
2001,600.0,0.999
2001,2000.0,1.0
2002,2.0,0.249
2002,6.0,0.28
2002,20.0,0.5
2002,60.0,0.953
2002,200.0,0.988
2002,600.0,0.999
2002,2000.0,1.0
2010,2.0,0.253
2010,6.0,0.296
2010,20.0,0.442
2010,60.0,0.826
2010,200.0,0.942
2010,600.0,0.997
2010,2000.0,1.0
2011,2.0,0.256
2011,6.0,0.284
2011,20.0,0.448
2011,60.0,0.854
2011,200.0,0.971
2011,600.0,0.999
2011,2000.0,1.0
2012,2.0,0.254
2012,6.0,0.284
2012,20.0,0.37
2012,60.0,0.87
2012,200.0,0.986
2012,600.0,0.999
2012,2000.0,1.0
2020,2.0,0.62
2020,50.0,0.956
2020,2000.0,1.0
2021,2.0,0.62
2021,50.0,0.956
2021,2000.0,1.0
2022,2.0,0.62
2022,50.0,0.956
2022,2000.0,1.0
2030,,
2031,,
2032,,
2040,,
2041,,
2050,,
2051,,
2060,,
2061,,
2070,,
2071,,
2080,,
2081,,
2090,,
2091,,
2092,,
2100,0.0,0.025
2100,2.0,0.041
2100,20.0,0.05
2100,50.0,0.076
2100,100.0,0.25
2100,250.0,0.693
2100,500.0,0.951
2100,1000.0,1.0
2100,2000.0,1.0
2101,0.0,0.043
2101,2.0,0.07
2101,20.0,0.084
2101,50.0,0.126
2101,100.0,0.281
2101,250.0,0.675
2101,500.0,0.938
2101,1000.0,0.998
2101,2000.0,1.0
2102,0.0,0.054
2102,2.0,0.105
2102,20.0,0.106
2102,50.0,0.148
2102,100.0,0.283
2102,250.0,0.673
2102,500.0,0.94
2102,1000.0,0.999
2102,2000.0,1.0
2103,0.0,0.057
2103,2.0,0.101
2103,20.0,0.108
2103,50.0,0.16
2103,100.0,0.296
2103,250.0,0.68
2103,500.0,0.941
2103,1000.0,0.999
2103,2000.0,1.0
2104,0.0,0.044
2104,2.0,0.086
2104,20.0,0.101
2104,50.0,0.125
2104,100.0,0.272
2104,250.0,0.689
2104,500.0,0.948
2104,1000.0,0.999
