code,theta,diffusivity
3172,0.157,48.0
3172,0.154,50.4
3172,0.151,50.4
3172,0.148,50.4
3172,0.145,52.8
3172,0.142,52.8
3172,0.139,55.2
3172,0.136,55.2
3172,0.133,55.2
3172,0.13,57.6
3172,0.127,57.6
3172,0.124,60.0
3172,0.121,60.0
3172,0.118,57.6
3172,0.117,57.6
3172,0.116,55.2
3172,0.115,55.2
3172,0.114,55.2
3172,0.114,55.2
3172,0.113,55.2
3172,0.112,55.2
3172,0.111,52.8
3172,0.111,52.8
3172,0.11,52.8
3172,0.109,52.8
3172,0.108,52.8
3172,0.108,52.8
3172,0.107,50.4
3172,0.106,50.4
3172,0.106,50.4
3172,0.105,50.4
3172,0.104,50.4
3172,0.103,50.4
3172,0.103,50.4
3172,0.102,48.0
3172,0.102,48.0
3172,0.101,48.0
3172,0.1,48.0
3172,0.1,48.0
3172,0.099,48.0
3172,0.099,48.0
3172,0.098,48.0
3172,0.097,45.6
3172,0.097,45.6
3172,0.096,45.6
3172,0.096,45.6
3172,0.095,45.6
3172,0.095,45.6
3172,0.094,45.6
3172,0.094,45.6
3172,0.093,43.2
3172,0.093,43.2
3172,0.092,43.2
3173,,
3174,,
3175,0.072,69.6
3175,0.051,38.4
3175,0.043,28.8
3175,0.039,21.6
3175,0.036,18.0
3175,0.034,15.6
3175,0.033,13.68
3175,0.032,12.48
3180,,
3181,,
3182,0.181,26.4
3182,0.161,14.88
3182,0.15,10.8
3182,0.143,8.64
3182,0.138,7.2
3182,0.134,6.48
3182,0.13,5.76
3182,0.127,5.28
3182,0.125,4.8
3182,0.122,4.56
3182,0.12,4.32
3182,0.119,4.08
3182,0.117,3.84
3182,0.101,2.64
3182,0.093,2.4
3182,0.248,552.0
3182,0.236,504.0
3182,0.227,456.0
3182,0.218,408.0
3182,0.211,384.0
3182,0.204,336.0
3182,0.199,312.0
3182,0.194,288.0
3182,0.189,288.0
3182,0.185,264.0
3182,0.182,240.0
3182,0.178,235.2
3182,0.175,223.2
3182,0.173,213.6
3182,0.17,204.0
3182,0.167,194.4
3182,0.165,187.2
3182,0.163,180.0
3182,0.161,172.8
3182,0.159,168.0
3182,0.157,160.8
3182,0.156,156.0
3182,0.154,151.2
3182,0.153,146.4
