theta_sat,horizon,family,OM_content,pH,location,keyword,date,texture,particle_density,porosity,series,k_sat,code,P2,P50,P100,P250,P500,P1000,P2000,rho,suction,theta
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,29.0,0.113
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,27.0,0.122
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,24.0,0.132
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,22.0,0.142
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,22.0,0.142
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,22.0,0.152
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,19.0,0.162
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,17.0,0.172
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,16.0,0.181
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,14.0,0.192
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,14.0,0.202
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,12.0,0.212
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,10.0,0.221
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,11.0,0.232
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,7.0,0.241
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,8.0,0.251
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,8.0,0.261
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,5.0,0.271
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,0.0,0.284
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4940,0.0,0.0,0.0,0.362,0.62,0.9101428571428571,1.0,1.76,8.0,0.264
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4940,0.0,0.0,0.0,0.362,0.62,0.9101428571428571,1.0,1.76,10.0,0.254
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4940,0.0,0.0,0.0,0.362,0.62,0.9101428571428571,1.0,1.76,10.0,0.253
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4940,0.0,0.0,0.0,0.362,0.62,0.9101428571428571,1.0,1.76,11.0,0.244
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4940,0.0,0.0,0.0,0.362,0.62,0.9101428571428571,1.0,1.76,12.0,0.237
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4940,0.0,0.0,0.0,0.362,0.62,0.9101428571428571,1.0,1.76,14.0,0.226
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.495,0.0,1.063,4940,0.0,0.0,0.0,0.362,0.62,0.9101428571428571,1.0,1.76,15.0,0.209
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4940,0.0,0.0,0.0,0.362,0.62,0.9101428571428571,1.0,1.76,15.0,0.209
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4940,0.0,0.0,0.0,0.362,0.62,0.9101428571428571,1.0,1.76,16.0,0.195
