particle_density,texture,porosity,series,conductivity,depth_lower,OM_content,k_sat,theta_sat,pH,location,depth_upper,code,P2,P50,P100,P250,P500,P1000,P2000,rho,suction,theta
2.65,12.0,0.44,33.0,1.656,61.0,0.783,542.9,0.418,7.3,23.0,30.0,1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,400.0,0.0567
2.65,12.0,0.44,33.0,1.656,61.0,0.783,542.9,0.418,7.3,23.0,30.0,1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,0.0,0.3663
2.65,12.0,0.44,33.0,1.656,61.0,0.783,542.9,0.418,7.3,23.0,30.0,1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,4.0,0.3099
2.65,12.0,0.44,33.0,1.656,61.0,0.783,542.9,0.418,7.3,23.0,30.0,1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,10.0,0.2969
2.65,12.0,0.44,33.0,1.656,61.0,0.783,542.9,0.418,7.3,23.0,30.0,1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,20.0,0.1416
2.65,12.0,0.44,33.0,1.656,61.0,0.783,542.9,0.418,7.3,23.0,30.0,1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,30.0,0.0793
2.65,12.0,0.44,33.0,1.656,61.0,0.75,708.0,0.418,7.3,23.0,30.0,1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,40.0,0.0608
2.65,12.0,0.44,33.0,1.656,61.0,0.75,708.0,0.418,7.3,23.0,30.0,1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,50.0,0.0496
2.65,12.0,0.44,33.0,1.656,61.0,0.75,708.0,0.418,7.3,23.0,30.0,1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,60.0,0.0486
2.65,12.0,0.44,33.0,1.656,61.0,0.75,708.0,0.418,7.3,23.0,30.0,1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,100.0,0.044
2.65,12.0,0.44,33.0,1.656,61.0,0.75,708.0,0.418,7.3,23.0,30.0,1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,140.0,0.0409
2.65,12.0,0.44,33.0,1.656,61.0,0.75,708.0,0.418,7.3,23.0,30.0,1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,180.0,0.0371
2.65,12.0,0.44,33.0,1.656,61.0,0.75,708.0,0.418,7.3,23.0,30.0,1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,240.0,0.0366
2.65,12.0,0.44,33.0,1.656,61.0,0.75,708.0,0.418,7.3,23.0,30.0,1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,320.0,0.0351
2.65,12.0,0.44,33.0,1.656,61.0,0.75,708.0,0.418,7.3,23.0,30.0,1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,400.0,0.0341
2.65,12.0,0.44,33.0,1.656,61.0,0.75,708.0,0.418,7.3,23.0,30.0,1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,0.0,0.3672
